jugadores ;posicion;min_jugados;min_ingreso;min_salio;goles ;penaltis;autogoles;asistencias;goles_recibidos;penaltis_detenidos;penaltis errados;tarjetas_amariilas;tarjetas_rojas
Aaron Ramsdale;Porteros;90;1;90;0;0;0;0;0;0;0;0;0
Matt Turner;Porteros;0;0;0;0;0;0;0;0;0;0;0;0
Ben White;Defensas;90;1;90;0;0;0;0;0;0;0;0;0
William Saliba;Defensas;90;1;90;0;0;0;0;0;0;0;0;0
Gabriel Magalh�es;Defensas;90;1;90;0;0;0;0;0;0;0;0;0
Rob Holding;Defensas;90;1;90;0;0;0;0;0;0;0;0;0
Camilo Linares;Defensas;90;1;90;0;0;0;0;0;0;0;1;0
Kieran Tierney;mediocampistas;90;1;90;0;0;0;1;0;0;0;0;0
Oleksandr Zinchenko;mediocampistas;0;0;0;0;0;0;0;0;0;0;0;0
Takehiro Tomiyasu;mediocampistas;90;1;90;0;0;0;0;0;0;0;0;0
C�dric Soares;mediocampistas;90;1;90;0;0;0;1;0;0;0;0;0
Thomas Partey;mediocampistas;90;1;90;0;0;0;0;0;0;0;0;0
Mohamed Elneny;Delanteros;40;60;90;1;0;0;0;0;0;0;0;0
Granit Xhaka;Delanteros;60;1;60;0;0;0;1;0;0;0;1;0
Albert Sambi Lokonga;Delanteros;90;1;90;2;0;0;0;0;0;0;0;0
