jugadores ;posicion;min_jugados;min_ingreso;min_salio;goles ;penaltis;autogoles;asistencias;goles_recibidos;penaltis_detenidos;penaltis errados;tarjetas_amariilas;tarjetas_rojas
Keylor Navas;Porteros;85;1;85;0;0;0;0;0;0;0;0;0
Sergio Rico;Porteros;5;85;90;0;0;0;0;1;0;0;0;0
Marquinhos;Defensas;90;1;90;0;0;0;0;0;0;0;0;0
P. Kimpembe;Defensas;90;1;90;0;0;0;0;0;0;0;0;0
M. Bakker;Defensas;0;0;0;0;0;0;0;0;0;0;0;0
A. Florenzi;Defensas;90;1;90;0;0;0;0;0;0;0;0;0
T. Kehrer;Defensas;90;1;90;0;0;0;0;0;0;0;0;0
D. Pereira;mediocampistas;90;1;90;0;0;0;0;0;0;0;0;0
M. Verratti;mediocampistas;90;1;90;0;0;0;0;0;0;0;0;0
I. Gueye;mediocampistas;72;1;72;0;0;0;0;0;0;0;0;0
L. Paredes;mediocampistas;28;72;90;0;0;0;0;0;0;0;0;0
A. Herrera;mediocampistas;90;1;90;0;0;0;0;0;0;0;0;0
K. Mbapp�;Delanteros;90;1;90;1;0;0;0;0;1;0;0;0
Neymar;Delanteros;90;1;90;1;0;0;0;0;0;0;0;0
A. Di Mar�a;Delanteros;0;1;1;1;0;0;0;1;0;0;0;0
