jugadores ;posicion;min_jugados;min_ingreso;min_salio;goles ;penaltis;autogoles;asistencias;goles_recibidos;penaltis_detenidos;penaltis errados;tarjetas_amariilas;tarjetas_rojas
David de Gea;Porteros;85;1;85;0;0;0;0;2;0;0;0;0
Tom Heaton;Porteros;5;85;90;0;0;0;0;0;0;0;0;0
Axel Tuanzebe;Defensas;90;1;90;0;0;0;0;null;null;0;0;0
Victor Lindelöf;Defensas;90;1;90;0;0;0;0;null;null;0;0;0
Phil Jones;Defensas;90;1;90;0;0;0;0;null;null;0;0;0
Harry Maguire;Defensas;34;56;90;0;0;0;0;null;null;0;0;0
Lisandro Martínez;Defensas;90;1;90;0;0;0;0;null;null;0;0;0
Bruno Fernandes;mediocampistas;90;1;90;0;0;0;0;null;null;0;0;0
Christian Eriksen;mediocampistas;90;1;90;0;0;0;0;null;null;0;0;0
Fred;mediocampistas;56;1;56;0;0;0;1;null;null;0;0;0
Casemiro;mediocampistas;90;1;90;0;0;0;0;null;null;0;0;0
Antony;mediocampistas;90;1;90;0;0;0;1;null;null;0;0;0
Cristiano Ronaldo;Delanteros;90;1;90;3;1;0;0;null;null;0;0;0
Anthony Martial;Delanteros;72;1;72;0;0;0;0;null;null;0;0;0
Marcus Rashford;Delanteros;18;72;90;0;0;0;0;null;null;0;0;0
